"judul","kategori","label"
"Pemerintah mengumumkan paket stimulus ekonomi baru untuk UMKM","Ekonomi","Positif"
"Penelitian terbaru menemukan manfaat vitamin D untuk imunitas tubuh","Kesehatan","Positif"
"Startup lokal merilis aplikasi pembayaran digital terbaru","Teknologi","Positif"
"Tim nasional sepak bola menang dalam pertandingan persahabatan","Olahraga","Positif"
"Festival budaya tahunan menarik ribuan pengunjung","Hiburan","Positif"
"Kenaikan harga BBM memicu protes dari berbagai kalangan","Ekonomi","Negatif"
"Rumah sakit membuka layanan telemedisin untuk pasien jarak jauh","Kesehatan","Positif"
"Universitas terkemuka buka program studi kecerdasan buatan","Pendidikan","Positif"
"Bencana banjir melanda beberapa wilayah di Jawa Barat","Lingkungan","Negatif"
"Peluncuran smartphone flagship dengan kamera canggih","Teknologi","Positif"
"Peningkatan kasus COVID-19 memicu kekhawatiran baru","Kesehatan","Negatif"
"Pengusaha muda raih penghargaan inovasi bisnis digital","Bisnis","Positif"
"Pembangunan jalan tol baru dipercepat untuk mengurangi kemacetan","Infrastruktur","Positif"
"Aplikasi belajar online mengalami peningkatan pengguna signifikan","Pendidikan","Positif"
"Atlet nasional berhasil memecahkan rekor dunia","Olahraga","Positif"
"Krisis energi global berdampak pada harga komoditas","Ekonomi","Negatif"
"Teknologi 5G resmi diluncurkan di ibukota","Teknologi","Positif"
"Gerakan sadar lingkungan mendapat dukungan masyarakat","Lingkungan","Positif"
"Pameran seni kontemporer menampilkan karya-karya inovatif","Hiburan","Positif"
"Reformasi sistem pendidikan mendapat respon positif","Pendidikan","Positif"
"Pencurian data menjadi ancaman serius bagi perusahaan","Teknologi","Negatif"
"Obat baru untuk penyakit langka mendapat persetujuan FDA","Kesehatan","Positif"
"Investasi di sektor renewable energy semakin diminati","Energi","Positif"
"Pertunjukan musik virtual menarik perhatian generasi muda","Hiburan","Positif"
"Kebijakan baru imigrasi memicu perdebatan publik","Politik","Negatif"
"Teknologi blockchain diaplikasikan untuk transparansi pemilu","Teknologi","Positif"
"Riset terbaru ungkap manfaat meditasi untuk kesehatan mental","Kesehatan","Positif"
"Ekspor komoditas pertanian menunjukkan peningkatan signifikan","Pertanian","Positif"
"Platform streaming video lokal tayangkan konten eksklusif","Hiburan","Positif"
"Pembangunan infrastruktur digital dipercepat di daerah terpencil","Infrastruktur","Positif"
"Wabah penyakit hewan mengancam peternakan lokal","Pertanian","Negatif"
"Inovasi material bangunan ramah lingkungan diperkenalkan","Lingkungan","Positif"
"Kompetisi esports nasional hadiahkan total miliaran rupiah","Olahraga","Positif"
"Kebijakan kerja remote menjadi tren pasca pandemi","Sosial","Positif"
"Peluncuran satelit komunikasi baru tingkatkan konektivitas","Teknologi","Positif"
"Kampanye anti-bullying dapat dukungan selebritas ternama","Sosial","Positif"
"Teknologi AI membantu diagnosis penyakit lebih akurat","Kesehatan","Positif"
"Krisis pangan global menjadi perhatian organisasi internasional","Pangan","Negatif"
"Festival kuliner virtual perkenalkan masakan tradisional","Hiburan","Positif"
"Regulasi baru batasi penggunaan plastik sekali pakai","Lingkungan","Positif"
"Serangan siber terhadap instansi pemerintah meningkat","Teknologi","Negatif"
"Terapi gen menunjukkan hasil menjanjikan untuk kanker","Kesehatan","Positif"
"Energi surya menjadi pilihan utama pembangkit listrik","Energi","Positif"
"Serial drama lokal raih penghargaan internasional","Hiburan","Positif"
